id	filename	md5	size	state
094e5ee7-3964-4ba8-9c90-6469dc3ebc3f	094e5ee7-3964-4ba8-9c90-6469dc3ebc3f/2391e3af-2fc9-4e51-8775-962772c36f58.wxs.aliquot_ensemble_masked.maf.gz	f587fdad4c879f578262fe5f6483ce2b	14530	validated
0e909131-3d42-41f1-9b63-9cf04a23e58d	0e909131-3d42-41f1-9b63-9cf04a23e58d/8b5b7bc5-5101-4bf6-a1db-9f95eb30a251.wxs.aliquot_ensemble_masked.maf.gz	c349f22dabc9c094dbc90e0bfc467fec	14199	validated
1244a29c-0901-45ee-8d7b-1043aca74656	1244a29c-0901-45ee-8d7b-1043aca74656/7841dbff-4b41-4c2a-a226-6c9c26e8ed1e.wxs.aliquot_ensemble_masked.maf.gz	383c4e4058f0265bd2034dc0833f7561	15388	validated
1341d28c-28f5-4b70-ac8b-d953fafc290f	1341d28c-28f5-4b70-ac8b-d953fafc290f/38a1bf7b-4677-495c-9cf5-312984ec1718.wxs.aliquot_ensemble_masked.maf.gz	46dbead98dca7a746f196636c5183f14	17082	validated
1c710f39-d9b0-4638-83ba-78b2b6dae5e8	1c710f39-d9b0-4638-83ba-78b2b6dae5e8/c09983d2-a18a-49b8-ab60-ccd20062a6a1.wxs.aliquot_ensemble_masked.maf.gz	e2659098bb4aa672bdcd3aee8d8d2ebe	16939	validated
1c9d3b62-13cd-4cdd-ac7c-7501e50a70b5	1c9d3b62-13cd-4cdd-ac7c-7501e50a70b5/b032200e-9bfe-49aa-819f-f15ef4317f2d.wxs.aliquot_ensemble_masked.maf.gz	c4ecca0dadf4fb02b74cf52c8a387732	16590	validated
1fe3777a-3236-464d-91e4-8f5e64c60ed4	1fe3777a-3236-464d-91e4-8f5e64c60ed4/f24a5881-78e2-48ec-ae01-31502ffb013c.wxs.aliquot_ensemble_masked.maf.gz	b7412a6e3650c442661af18343eb5173	15454	validated
205d109e-a74a-40a4-8f02-d0e715139dea	205d109e-a74a-40a4-8f02-d0e715139dea/d4134b20-9c5b-4d80-b5bb-64ef3af7932f.wxs.aliquot_ensemble_masked.maf.gz	3956f3a4f94b4e98023f11fa3f7772be	8427	validated
24facfda-52d2-478f-b15f-8c981339aeb6	24facfda-52d2-478f-b15f-8c981339aeb6/efb17d09-60f3-4be1-9511-b68e3de88379.wxs.aliquot_ensemble_masked.maf.gz	45e0a5f09c66073f8e781d1f6b45fae1	21578	validated
29fbcaf6-7408-45d2-a63d-608407605493	29fbcaf6-7408-45d2-a63d-608407605493/d0e9bfce-b3d9-47bd-89ba-63031ecd7ba0.wxs.aliquot_ensemble_masked.maf.gz	999515e229167d9bcaa42951bdce012d	11188	validated
306ddea6-1fd5-4b65-ac15-dc1f6039670d	306ddea6-1fd5-4b65-ac15-dc1f6039670d/a1b3f21c-f4f0-4528-9689-25ce5f21376a.wxs.aliquot_ensemble_masked.maf.gz	1bf648cfa429a584152f11bc536612ad	306483	validated
3cfede0e-583c-487e-8675-20d9ab57e40e	3cfede0e-583c-487e-8675-20d9ab57e40e/7e9eb3b1-b0d6-4c23-8a81-8b447d80ea30.wxs.aliquot_ensemble_masked.maf.gz	a913e99e1aadfa8b656382de70595384	8315	validated
42bc9bad-8c08-47df-b31e-6ac2fe41fbe3	42bc9bad-8c08-47df-b31e-6ac2fe41fbe3/829e8d08-feba-4f4b-bc45-77a9196280f2.wxs.aliquot_ensemble_masked.maf.gz	c4c315c8383e443f630642effb8a5436	15161	validated
4bf06525-5f6c-4a6b-9533-c20750d869ef	4bf06525-5f6c-4a6b-9533-c20750d869ef/dbf25b0f-8a45-48a2-95f9-6fd28c90f26e.wxs.aliquot_ensemble_masked.maf.gz	cc648257828189b5ece408857b93ff01	21545	validated
4d6db692-1515-482b-a246-b1c6016f7afd	4d6db692-1515-482b-a246-b1c6016f7afd/e311068e-0c49-4b48-9bd3-9f0dbad3e089.wxs.aliquot_ensemble_masked.maf.gz	b6bc5955a3b39a9673fe21b0216fdb63	10614	validated
5053b73f-e35a-4133-8fd2-17d500e72e97	5053b73f-e35a-4133-8fd2-17d500e72e97/1dea7142-40c0-47d4-bd2a-fad0b8486b87.wxs.aliquot_ensemble_masked.maf.gz	737f8a4dfbb5b3ecabb885a9e14aed5f	13772	validated
5342c06a-6e74-4f8a-91ec-1c0ba470d9e8	5342c06a-6e74-4f8a-91ec-1c0ba470d9e8/dc97b764-ef84-4294-9cc5-72bb7f1ed137.wxs.aliquot_ensemble_masked.maf.gz	346303a6578ad4d95a03c368a3261059	16458	validated
5806ae3b-d700-4398-b5cc-fa4a79b533b5	5806ae3b-d700-4398-b5cc-fa4a79b533b5/20575a9b-13f5-4105-a16d-712c8572e913.wxs.aliquot_ensemble_masked.maf.gz	89b878c598e5e99a22eb5c46cee0a2cc	29117	validated
61d18eb0-bfb1-46f5-8b7e-b68a957b568d	61d18eb0-bfb1-46f5-8b7e-b68a957b568d/f96d8734-d543-4c9d-a9ab-dcf4c5ebcff8.wxs.aliquot_ensemble_masked.maf.gz	9e908f60b348532981dd2dc656220b11	10218	validated
784747af-79b4-42f5-88e6-0a37daed6717	784747af-79b4-42f5-88e6-0a37daed6717/0b23902d-5147-4365-bcdc-6ec6bee75359.wxs.aliquot_ensemble_masked.maf.gz	a289d0c921630e1d401937016f045af5	256582	validated
8f3c388a-591c-416c-b9bf-ea422767162c	8f3c388a-591c-416c-b9bf-ea422767162c/77288bfd-6dd0-4d70-af94-622dc1b4af16.wxs.aliquot_ensemble_masked.maf.gz	a34a3c894e21bb470042d9b4c6647a5a	23622	validated
93c2f776-7806-4b2b-b1ae-e6509637264c	93c2f776-7806-4b2b-b1ae-e6509637264c/194d0700-0224-41c4-8471-02c282bf275e.wxs.aliquot_ensemble_masked.maf.gz	866d406b976ec489e66a019ae55ed7e3	14859	validated
966ee788-d242-42fe-8b63-d953724a2dd2	966ee788-d242-42fe-8b63-d953724a2dd2/e25f97c9-4c53-4b99-9606-0d722460ecc2.wxs.aliquot_ensemble_masked.maf.gz	b8ee3f7aabebccf11df516399cab68dc	9754	validated
96ead66f-4e80-415a-ac0f-fff49d30509a	96ead66f-4e80-415a-ac0f-fff49d30509a/01032819-36b1-4b15-a4f3-30e401404be1.wxs.aliquot_ensemble_masked.maf.gz	6163195ee29d05236a209a0f0d0575cf	11482	validated
a34f3b8e-32c1-4a2d-a2b2-d2019a0b915a	a34f3b8e-32c1-4a2d-a2b2-d2019a0b915a/4e4f1f68-af44-44e5-ab17-b09dd450bed1.wxs.aliquot_ensemble_masked.maf.gz	9ff7b583b8a75b899db12b3f5cdc4d39	13645	validated
